time,open,high,low,close,MA,MA,Histogram,MACD,Signal
1357776000,13.85528169,14.29806557,13.51,14.07906343,NaN,NaN,0.03833361887354381,0.17084945137310648,0.13251583249956267
1357862400,14.0871475,14.34150947,13.79889346,14.25616751,NaN,NaN,0.06293587472103157,0.21118567590085213,0.14824980117982056
1357948800,14.18523022,14.3178327,13.90567047,14.14498238,NaN,NaN,0.06660974912503442,0.23151198758611358,0.16490223846107915
1358035200,14.24398791,14.29989507,13.62,14.18963583,NaN,NaN,0.0667669659395776,0.24836094588555113,0.18159397994597354
1358121600,14.19005438,14.34967166,13.8,14.09948981,NaN,NaN,0.05595700566061415,0.2515402370217412,0.19558323136112707
1358208000,14.27889121,14.42660554,13.88584508,14.33454307,NaN,NaN,0.05946562821935236,0.2699152666353175,0.21044963841596515
1358294400,14.29996284,14.72998184,14.05993448,14.72998063,NaN,NaN,0.08186475045512293,0.3127805764848688,0.23091582602974586
1358380800,14.72995188,15.59779829,14.2924015,15.46461971,NaN,NaN,0.13639033516224514,0.40140374498255227,0.26501340982030713
1358467200,15.54968376,15.94989644,15.26011652,15.60502694,NaN,NaN,0.16996049330799112,0.47746402645529606,0.30750353314730494
1358553600,15.61242962,15.76999,15.081,15.61232083,NaN,NaN,0.17975403617159713,0.5321960783618014,0.35244204219020425
1358640000,15.61465373,15.889962,15.2309613,15.61232891,NaN,NaN,0.1732568043238124,0.5690130475949697,0.3957562432711573
1358726400,15.69197191,16.84548276,15.44373069,16.70443848,NaN,NaN,0.22618990456159277,0.6784936239731483,0.4523037194115555
1358812800,16.78246552,17.5486681,16.19914474,17.29184259,NaN,NaN,0.2808732890922523,0.8033953307768709,0.5225220416846186
1358899200,17.24229374,17.57965108,16.6993377,17.57744049,NaN,NaN,0.31388639024341125,0.9148800294888826,0.6009936392454713
1358985600,17.46846298,19.10057044,15.95469173,16.81206242,NaN,NaN,0.2638001345715908,0.9307438074599599,0.6669436728883691
1359072000,16.74653784,17.68737284,15.55624139,17.44584601,NaN,NaN,0.2529443908075988,0.9831241613978676,0.7301797705902688
1359158400,17.45108147,17.61529375,16.27938831,17.61527308,NaN,NaN,0.23703598819555638,1.0264747558347143,0.7894387676391579
1359244800,17.64967924,17.93883574,16.9,17.74491544,NaN,NaN,0.21571540144372692,1.0590830194438166,0.8433676180000896
1359331200,17.9114831,18.87294793,17.47587917,18.74479814,NaN,NaN,0.2471652693366958,1.1523242046709594,0.9051589353342636
1359417600,18.71887883,19.62873946,18.39608999,19.3477473,NaN,NaN,0.28414727096515535,1.2603430240407079,0.9761957530755525
1359504000,19.3597996,19.77984152,18.71363709,19.57700732,NaN,NaN,0.29816245219210646,1.3488988183156856,1.0507363661235791
1359590400,19.78044806,21.31103945,19.08786188,20.3997947,NaN,NaN,0.3342457333601949,1.4685435328238228,1.1342977994636279
1359676800,20.41696035,21.08598867,20.15103383,20.49193501,NaN,NaN,0.33487932409771015,1.5528969545857656,1.2180176304880554
1359763200,20.49895927,20.49895927,18.65736511,19.69997083,NaN,NaN,0.2560757809333074,1.5381123566546897,1.2820365757213823
1359849600,19.70522253,20.80999378,19.37695289,20.48215897,NaN,NaN,0.23148866819356262,1.5713974109633355,1.339908742769773
1359936000,20.53351949,20.99052442,19.96797035,20.54677417,NaN,NaN,0.19585082262556108,1.5847222710517244,1.3888714484261633
1360022400,20.41051275,20.74974628,19.86131195,20.65150217,NaN,NaN,0.15726830810637482,1.5854568335591317,1.4281885254527569
1360108800,20.74460248,21.30194085,20.5,21.21156108,NaN,NaN,0.14756239995586817,1.612641525397592,1.465079125441724
1360195200,21.05066902,22.20094701,20.69984098,22.0368097,NaN,NaN,0.1730520521903074,1.6813941906796082,1.5083421384893008
1360281600,22.00993633,22.74491981,21.99834053,22.64491781,NaN,NaN,0.20501356943278215,1.7646091002802784,1.5595955308474962
1360368000,22.58408992,23.92839946,22.206383,23.70695323,NaN,NaN,0.26785736380620007,1.8944172356052462,1.6265598717990462
